iter	Passed	Remaining
0	1	118
1	2	99
2	2	93
3	3	86
4	4	84
5	5	82
6	6	81
7	7	80
8	7	79
9	8	78
10	9	76
11	10	76
12	11	75
13	12	74
14	12	73
15	13	73
16	14	72
17	15	72
18	16	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	51
41	35	49
42	36	48
43	37	47
44	38	46
45	39	45
46	39	44
47	40	44
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
