iter	Passed	Remaining
0	148	148347
1	150	75094
2	154	51330
3	156	38876
4	158	31527
5	159	26478
6	161	22954
7	163	20255
8	165	18189
9	166	16501
10	168	15166
11	170	14027
12	172	13067
13	173	12220
14	175	11524
15	177	10893
16	178	10331
17	180	9827
18	181	9391
19	183	8997
20	184	8618
21	186	8285
22	187	7980
23	189	7702
24	191	7451
25	192	7220
26	194	7007
27	196	6804
28	197	6614
29	198	6433
30	201	6286
31	202	6135
32	204	6003
33	206	5871
34	208	5742
35	210	5623
36	211	5508
37	214	5433
38	216	5334
39	218	5238
40	220	5148
41	221	5062
42	223	4978
43	225	4901
44	227	4818
45	229	4751
46	231	4687
47	233	4624
48	235	4564
49	237	4506
50	239	4454
51	241	4404
52	243	4351
53	245	4301
54	247	4252
55	249	4204
56	251	4158
57	253	4119
58	255	4076
59	257	4034
60	259	3993
61	261	3954
62	263	3916
63	265	3879
64	267	3847
65	269	3816
66	271	3782
67	273	3749
68	275	3717
69	277	3685
70	279	3654
71	281	3629
72	283	3601
73	285	3573
74	287	3546
75	289	3519
76	291	3492
77	293	3466
78	295	3441
79	297	3416
80	299	3392
81	301	3369
82	301	3335
83	303	3313
84	305	3291
85	307	3270
86	311	3268
87	313	3245
88	314	3222
89	316	3200
90	318	3178
91	319	3156
92	321	3135
93	323	3115
94	325	3102
95	327	3083
96	329	3071
97	331	3049
98	332	3030
99	334	3012
100	336	2997
101	338	2983
102	340	2965
103	342	2949
104	344	2933
105	345	2915
106	347	2899
107	349	2882
108	350	2867
109	352	2851
110	354	2835
111	355	2820
112	357	2808
113	359	2796
114	361	2782
115	363	2772
116	366	2766
117	369	2758
118	370	2746
119	372	2732
120	374	2718
121	375	2701
122	377	2690
123	380	2685
124	384	2692
125	388	2693
126	390	2685
127	394	2689
128	398	2688
129	400	2678
130	402	2669
131	404	2658
132	405	2645
133	407	2635
134	410	2629
135	412	2620
136	414	2609
137	415	2597
138	417	2588
139	419	2576
140	421	2566
141	422	2551
142	424	2545
143	426	2536
144	428	2526
145	430	2517
146	432	2507
147	433	2497
148	435	2490
149	437	2481
150	439	2472
151	441	2465
152	443	2457
153	445	2450
154	447	2440
155	450	2434
156	451	2426
157	453	2417
158	455	2409
159	457	2401
160	458	2389
161	460	2380
162	462	2374
163	464	2366
164	466	2358
165	467	2350
166	469	2342
167	471	2333
168	473	2326
169	475	2321
170	478	2318
171	480	2313
172	482	2307
173	484	2301
174	486	2295
175	488	2288
176	490	2282
177	493	2278
178	495	2272
179	497	2266
180	499	2261
181	504	2268
182	509	2274
183	511	2268
184	513	2262
185	515	2256
186	517	2250
187	519	2244
188	522	2241
189	525	2238
190	528	2240
191	531	2237
192	535	2237
193	539	2239
194	541	2235
195	543	2229
196	545	2223
197	547	2217
198	553	2227
199	555	2222
200	558	2218
201	560	2214
202	562	2207
203	567	2213
204	569	2207
205	571	2202
206	573	2198
207	575	2192
208	577	2186
209	579	2181
210	582	2179
211	585	2177
212	587	2171
213	589	2166
214	591	2160
215	599	2177
216	602	2172
217	603	2166
218	605	2160
219	607	2155
220	610	2151
221	613	2150
222	615	2145
223	618	2141
224	620	2135
225	622	2131
226	638	2175
227	646	2190
228	651	2193
229	653	2189
230	656	2184
231	658	2179
232	660	2174
233	662	2168
234	664	2163
235	667	2159
236	669	2156
237	672	2152
238	674	2148
239	676	2142
240	679	2140
241	681	2135
242	684	2132
243	686	2128
244	692	2132
245	699	2144
246	709	2163
247	719	2182
248	724	2185
249	726	2180
250	731	2183
251	737	2187
252	740	2187
253	744	2185
254	746	2182
255	753	2190
256	758	2194
257	761	2190
258	766	2194
259	797	2269
260	800	2266
261	802	2260
262	807	2262
263	809	2256
264	811	2251
265	814	2248
266	817	2243
267	819	2237
268	821	2232
269	823	2226
270	826	2222
271	828	2216
272	830	2210
273	832	2205
274	833	2198
275	835	2192
276	837	2185
277	839	2179
278	841	2173
279	842	2167
280	844	2161
281	846	2155
282	848	2148
283	849	2142
284	851	2136
285	853	2131
286	855	2125
287	857	2120
288	860	2117
289	862	2112
290	864	2107
291	871	2112
292	873	2106
293	875	2102
294	877	2097
295	880	2093
296	882	2088
297	884	2084
298	887	2079
299	889	2075
300	891	2070
301	893	2066
302	896	2061
303	902	2066
304	904	2061
305	912	2069
306	914	2063
307	916	2058
308	918	2053
309	920	2048
310	925	2051
311	929	2049
312	931	2044
313	933	2039
314	935	2034
315	937	2028
316	939	2024
317	942	2020
318	943	2015
319	945	2009
320	947	2004
321	949	1998
322	950	1993
323	952	1987
324	954	1982
325	956	1976
326	957	1971
327	959	1966
328	962	1962
329	963	1956
330	965	1952
331	967	1947
332	969	1942
333	971	1937
334	973	1931
335	974	1926
336	976	1921
337	978	1915
338	980	1911
339	981	1906
340	983	1900
341	985	1895
342	986	1890
343	988	1885
344	990	1881
345	992	1876
346	994	1871
347	996	1867
348	998	1862
349	1000	1858
350	1003	1854
351	1005	1850
352	1007	1845
353	1008	1840
354	1010	1836
355	1012	1832
356	1014	1827
357	1016	1822
358	1018	1817
359	1019	1813
360	1021	1808
361	1023	1804
362	1026	1800
363	1028	1796
364	1030	1792
365	1031	1787
366	1033	1782
367	1035	1778
368	1037	1773
369	1038	1768
370	1040	1764
371	1042	1759
372	1044	1755
373	1045	1750
374	1047	1746
375	1049	1741
376	1051	1737
377	1053	1734
378	1057	1732
379	1060	1729
380	1063	1727
381	1065	1723
382	1068	1720
383	1070	1716
384	1072	1713
385	1074	1709
386	1076	1705
387	1079	1701
388	1080	1697
389	1083	1694
390	1087	1694
391	1091	1692
392	1093	1689
393	1095	1685
394	1098	1681
